Country Name,Country Code,Indicator Name,Year,GDP
United States,USA,GDP (current US$),2010,1.49921E+13
United States,USA,GDP (current US$),2011,1.55426E+13
United States,USA,GDP (current US$),2012,1.6197E+13
United States,USA,GDP (current US$),2012,1.6197E+13
United States,USA,GDP (current US$),2013,1.67848E+13
United States,USA,GDP (current US$),2014,1.75217E+13
United States,USA,GDP (current US$),2015,1.82193E+13
United States,USA,GDP (current US$),2016,1.87072E+13
United States,USA,GDP (current US$),2017,1.94854E+13
United States,USA,GDP (current US$),2018,2.04941E+13